baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,rank_DESEQ
2609.72058,1.27127134,0.14061064,9.04107517,1.55E-19,1.80E-15,RPLP1,1
4654.17916,1.12748774,0.13878276,8.12411963,4.51E-16,2.62E-12,EMC10,2
2781.25594,1.34961536,0.16782068,8.04200878,8.84E-16,3.42E-12,SFTPC,3
2948.69005,1.43756313,0.19891126,7.22715823,4.93E-13,5.21E-10,PSMB1,4
1620.95846,1.11976755,0.16929886,6.61414689,3.74E-11,2.55E-08,SEC61G,5
2273.80938,0.988883,0.15224933,6.49515506,8.29E-11,5.07E-08,PRAP1,6
4957.54458,0.7219824,0.11337794,6.36792647,1.92E-10,9.67E-08,KLK11,7
1410.37109,1.43708495,0.22735141,6.32098541,2.60E-10,1.21E-07,TSPAN1,8
8661.71756,0.75016622,0.11964999,6.26967216,3.62E-10,1.62E-07,HDHD2,9
742.894067,2.83875347,0.45708915,6.21050282,5.28E-10,2.11E-07,CCR4,10
1849.17566,1.16981646,0.19339876,6.04872769,1.46E-09,5.30E-07,PAFAH1B3,11
2465.47565,0.96858605,0.16103859,6.01462064,1.80E-09,5.98E-07,THRA,12
5084.08867,0.97648799,0.16428574,5.94383906,2.78E-09,8.08E-07,SNAPIN,13
504.560839,1.70193266,0.2883836,5.9016278,3.60E-09,8.71E-07,CBX8,14
4179.34686,0.94721948,0.16248932,5.82942616,5.56E-09,1.12E-06,TMEM43,15
1455.26681,1.68485977,0.29612605,5.68967084,1.27E-08,2.21E-06,CELA1,16
3294.02232,1.29576447,0.22986798,5.63699409,1.73E-08,2.79E-06,DBI,17
305.528783,2.74905193,0.48822258,5.63073492,1.79E-08,2.85E-06,RIMS3,18
2602.31008,1.07759082,0.19293911,5.58513421,2.34E-08,3.48E-06,RPL29,19
1944.94234,1.81567575,0.32927534,5.51415654,3.50E-08,4.68E-06,SLC37A4,20
3314.27778,0.98823842,0.17932317,5.5109356,3.57E-08,4.71E-06,IGHV7-81,21
1075.89014,1.35243919,0.24934261,5.42401962,5.83E-08,7.05E-06,FGL1,22
3518.34327,0.74076867,0.13697728,5.4079676,6.37E-08,7.40E-06,PRSS8,23
2295.21644,0.82102624,0.15326369,5.35695203,8.46E-08,9.18E-06,HEMK1,24
630.852276,1.35485917,0.25337897,5.34716497,8.93E-08,9.60E-06,UBE2A,25
3785.65031,1.00606541,0.18850632,5.33703797,9.45E-08,9.97E-06,IFNL2,26
3490.95744,0.75725328,0.14304907,5.29366093,1.20E-07,1.19E-05,CZIB,27
782.520822,1.31329991,0.24884666,5.27754688,1.31E-07,1.29E-05,HNRNPK,28
1568.33136,1.01832119,0.19311157,5.27322723,1.34E-07,1.30E-05,OXA1L,29
4345.27683,0.61045145,0.11591127,5.26654105,1.39E-07,1.31E-05,KIAA0930,30
5374.80766,0.76932007,0.14712473,5.22903313,1.70E-07,1.54E-05,SLC39A1,31
2243.59214,0.80525174,0.1540153,5.22838785,1.71E-07,1.54E-05,METTL7B,32
80.8423518,4.83977698,0.92615894,5.22564409,1.74E-07,1.54E-05,WDR70,33
1655.33116,0.92445041,0.17692193,5.2251883,1.74E-07,1.54E-05,GLYCTK,34
3560.05621,0.81160776,0.15814633,5.13200513,2.87E-07,2.38E-05,C11orf16,35
2654.08939,0.75212864,0.14787895,5.08611035,3.65E-07,2.91E-05,ASB6,36
829.095045,1.38461181,0.27293206,5.07310067,3.91E-07,3.03E-05,F2RL1,37
7892.94175,0.81587266,0.16154968,5.05028948,4.41E-07,3.28E-05,AHNAK,38
1152.45911,1.31385462,0.26067989,5.04010739,4.65E-07,3.44E-05,KRTAP19-5,39
3502.64632,0.62638485,0.12457673,5.02810464,4.95E-07,3.59E-05,TPI1,40
1036.44173,2.5136133,0.50185594,5.00863518,5.48E-07,3.85E-05,AHSA1,41
760.404179,1.43571337,0.28833402,4.97934091,6.38E-07,4.33E-05,POLG2,42
4272.06578,0.68671122,0.13859055,4.95496406,7.23E-07,4.77E-05,PRTN3,43
2161.38313,0.81666244,0.16527279,4.9413,7.76E-07,5.00E-05,RRAGB,44
1409.97794,1.11213331,0.22585992,4.92399593,8.48E-07,5.29E-05,PFKFB4,45
