Sample,Name
10_is_1,FAST1-CRPPA
11_is_2,FAST2-UNK
12_is_3,FAST3-HERC1
13_is_4,FAST4-ANKS1A
14_is_9,SLOW1-SOCS7
15_is_11,SLOW2-lncRNA
16_is_c,SLOW3-CENPC
17_is_d,SLOW4-C5orf24
VL1,FAST5-RHOH
VL2,FAST6-AHI1
VL3,FAST7-INTER
VL4,FAST8-CRPPA
VL5,FAST9-SUPT3H
VL6,FAST10-MYB
VL7,FAST11-TRBC2
VL9,FAST12-UNK
VL10,FAST13-MYB
VL11,FAST14-INTER2
VL12,FAST15-MYB
VL13,FAST16-MYB
VL14,FAST17-HERC1
VL15,FAST18-HERC1
VL16,FAST19-PIR
VL17,FAST20-TRBC2
VL18,FAST21-AHI1
HVL20,FAST22-MYB
HVL21,FAST23-SNRPB
NPHS1,SLOW5-CENPC
NPHS2,SLOW6-TTLL5
NPHS3,SLOW7-RNF41
NPHS4,SLOW8-CENPC
NPS6,SLOW9-RTKN2
NPS7,SLOW10-RTKN2
NPS8,SLOW11-PTPRD
NPS9,SLOW12-RBFOX2
NPS10,SLOW13-INTER3
NPS11,SLOW14-OSBP2
NPS12,SLOW15-PKN2
NPS13,SLOW16-MACROD2
NPS14,SLOW17-UBE2G2
NPS15,SLOW18-MON2
NPS16,SLOW19-LRP1B
NPS17,SLOW20-BRWD1
NPS18,SLOW21-UNK
NPS19,SLOW22-NCOA7
NPS22,SLOW23-CLASP2
NPS23,SLOW24-GART
NPS24,SLOW25-ACSF3
